artist_id,artist_name,purpose_premium_pack
5K8Rmjmf4RZFffz94EmBRt,Zé Vaqueiro,False
1yR65psqiazQpeM79CcGh8,Marília Mendonça,False
0ydGW5O1ai60prNBXKWSbF,Ricardo Bacelar,False
5dmAaE3uOvFju8xzDulX5h,Davi & Thiago,False
2I72QcB2NcskfukdmV9sog,Sandro,False
48GcDaOEfFSpjdQ9F7YjGz,Thalicia,False
22jNvLBrXGKr4CcV2tw8Ag,Jonas Esticado,False
5ZqZAqnYsg0xvdyd1vBb15,Y BALLOON,False
6czdbISBoxGckbBX8F4m8L,Jacob Sartorius,False
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,False
2OUgs5INWK2UEvZ6amWiJr,Eduardo Costa,False
3aANIxbg5GNj2aGxxpg4Mr,Kamatos,False
0kjGPGtoyKwKVOZAKmv5K6,Giulia Be,False
6szGc0bzf7tY6HXwBVyNZ0,Varandão,False
71Pw9VanbUtPzvO0XiO9im,Lisa Remar,False
5jFepnWLPWhkMKz2GMDu38,Ivan and Peter,False
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,False
007FXgr0jLBJxhPJjacXQH,Eric Land,False
7Lmrb6KcIzfkmgbtokjsAL,Mc Don Juan,False
3E7iusS129Vnet5v20rqOA,Banda Camanduê,False
7KVJCU4z5L4EUHILL8aMxR,Leo Santana,False
2eSyfNgqkRpB4Ggu55P1Gg,Gleydson Gavião,False
678fuyxTJtrNnGC4sMl07C,Danny Hesher,False
0UbJJayomun8CvZKCPH9j3,Luíza & Maurílio,False
7FSn06H3NaT54hcxAY5rQ9,Atalhos,False
3sZISNeztIW6iDfXtNF2ye,Greya,False
0EsEAJnMo4tFoVIx6KqfWY,Deco,False
6VixI1Abe7e3mV3ScdQmg1,Luciane Dom,False
0G0UBEMCXDj4UWnT3BeBoS,bule,False
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,False
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,False
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,False
0MInKJqZscEeNc5K3K0mkE,Simone & Simaria,False
6Kps94g1Npexh3LrinIOvC,Calcinha Preta,False
597XBqZtaiZC7laCNx3nVz,Yasmin Santos,False
7zIRO89G0FBAQtGMHO1Wa0,João Bosco & Vinicius,False
06lnOkY99sXVW44Y0M4BDP,Vitão,False
6TYimByryGphZCtwYopH0y,Lauana Prado,False
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,False
